Typ;Grundform/Lemma;Wortstamm;Bedarfsbereiche/Warenbedarf;Untergruppe;Bedeutung;Literatur;Bibliographie
allgemeiner Händlerbegriff;aginatus;aginat;allg. Händler;allgemeiner Handel;Händler, wie negotiator;Wissemann 1984;Wissemann, M. (1984). Die Spezialisierung des römischen Handels, MBAH III 1, S. 116-124.
allgemeiner Händlerbegriff;circitor;circitor;allg. Händler;allgemeiner Handel;Hausierer;Wissemann 1984;Schlippschuh, O. (1974). Die Händler im römischen Kaiserreich in Gallien, Germanien und den Donauprovinzen Rätien, Noricum und Pannonien. A. M. Hakkert.
allgemeiner Händlerbegriff;cocistrio;cocistri;allg. Händler;allgemeiner Handel;Krämer;Wissemann 1984;Kunow, J. (1980). Negotiator et vectura. Händler und Transport im freien Germanien. In Kleine Schriften aus dem Vorgeschichtlichen Seminar Marburg. Heft 6. Vorgeschichtliches Seminar.
allgemeiner Händlerbegriff;institor;institor;allg. Händler;allgemeiner Handel;Kleinhändler;Wissemann 1984;
allgemeiner Händlerbegriff;lixa;lixa;Militärhändler;Militärhändler;Händler des Militärs, Marktender;Kunow 1980;
allgemeiner Händlerbegriff;magnarii;magnari;allg. Händler;allgemeiner Handel;Großhändler;Wissemann 1984;
allgemeiner Händlerbegriff;mercator;mercator;allg. Händler;allgemeiner Handel;Kleinhändler, Sortiment ohne spez. Warengruppe, Kaufmann;Schlippschuh 1974;
allgemeiner Händlerbegriff;negotians;negotiant;allg. Händler;allgemeiner Handel;handelnde Person, Handel treibende Person;Schlippschuh 1974;
allgemeiner Händlerbegriff;negotiantes;negotiant;allg. Händler;allgemeiner Handel;handelnde Person, Handel treibende Person;Schlippschuh 1974;
allgemeiner Händlerbegriff;negotiantis;negotiant;allg. Händler;allgemeiner Handel;handelnde Person, Handel treibende Person;Eigene Recherche;
allgemeiner Händlerbegriff;negotiator;negotiator;allg. Händler;allgemeiner Handel;Großhändler, oft mit großem Sortiment, Fernhändler;Schlippschuh 1974 / Kunow 1980;
allgemeiner Händlerbegriff;nundinator;nundinator;allg. Händler;allgemeiner Handel;Händler, Krämer;Wissemann 1984;
allgemeiner Händlerbegriff;pantopola;pantopol;allg. Händler;allgemeiner Handel;Krämer;Wissemann 1984;
allgemeiner Händlerbegriff;popa;po;allg. Händler;allgemeiner Handel;Krämer;Wissemann 1984;
allgemeiner Händlerbegriff;propola;propola;allg. Händler;allgemeiner Handel;Krämer, lokaler Kleinhändler / Aufkäufer;Schlippschuh 1974 / Wissemann 1984;
allgemeiner Händlerbegriff;propolarius;propolari;allg. Händler;allgemeiner Handel;Händler;Wissemann 1984;
allgemeiner Händlerbegriff;savinarius;savinari;allg. Händler;allgemeiner Handel;Krämer;Wissemann 1984;
allgemeiner Händlerbegriff;tabernarius;tabernari;allg. Händler;allgemeiner Handel;Krämer;Wissemann 1984;
allgemeiner Händlerbegriff;venditor;venditor;allg. Händler;allgemeiner Handel;Verkäufer;Wissemann 1984;
spezialisierter Händlerbegriff;aconitarius;aconitari;Schmuck- und Zierbedarf;Drogen/Salben;Drogist;Wissemann 1984;
spezialisierter Händlerbegriff;acuclarius;acuclari;Schmuck- und Zierbedarf;Nadel/Kopf-;Händler und/ oder Hersteller mit Nadeln zum Kopfputz;Wissemann 1984;
spezialisierter Händlerbegriff;adipatarius;adipatari;Lebensmittelbedarf;Gebäck;Händler mit Schmalzgebäck;Wissemann 1984;
spezialisierter Händlerbegriff;aluminarius;aluminari;Arbeits- und Betriebsmittelbedarf;Alaun;Alaunhändler (und/oder -arbeiter);Wissemann 1984;
spezialisierter Händlerbegriff;ampullarius;ampullari;Arbeits- und Betriebsmittelbedarf;Flaschen/Behälter;Flaschenhändler, Hersteller und Händler von Flaschen aus Ton, Glas oder Leder;Schlippschuh 1974 / Wissemann 1984;
spezialisierter Händlerbegriff;anellarius;anellari;Schmuck- und Zierbedarf;Ringe;Händler und/ oder Hersteller mit Ringen;Wissemann 1984;
